id,ans
1,0
2,0
3,3
4,4
5,0
6,5
7,2
8,3
9,3
10,0
11,1
12,3
13,0
14,5
15,2
16,0
17,4
18,0
19,3
20,1
21,0
22,3
23,2
24,4
25,4
26,5
27,3
28,5
29,0
30,2
31,5
32,4
33,3
34,1
35,4
36,1
37,1
38,2
39,4
40,1
41,4
42,2
43,2
44,5
45,4
46,3
47,5
48,3
49,1
50,3
51,2
52,3
53,5
54,1
55,2
56,1
57,5
58,3
59,1
60,0
61,0
62,3
63,2
64,4
65,0
66,0
67,2
68,2
69,3
70,5
71,5
72,1
73,0
74,3
75,1
76,4
77,2
78,0
79,5
80,4
81,1
82,4
83,2
84,5
85,1
86,0
87,0
88,0
89,0
90,1
91,5
92,1
93,0
94,5
95,4
96,0
97,1
98,2
99,5
100,5
101,0
102,4
103,5
104,2
105,0
106,0
107,0
108,2
109,0
110,0
111,5
112,5
113,1
114,3
115,4
116,0
117,3
118,1
119,0
120,1
121,1
122,2
123,3
124,4
125,1
126,1
127,2
128,3
129,0
130,5
131,4
132,2
133,4
134,4
135,0
136,2
137,2
138,2
139,1
140,0
141,2
142,3
143,0
144,5
145,4
146,2
147,4
148,5
149,0
150,4
151,0
152,4
153,4
154,5
155,0
156,5
157,0
158,5
159,3
160,1
161,3
162,3
163,5
164,2
165,2
166,2
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,4
175,4
176,5
177,0
178,5
179,4
180,3
181,5
182,2
183,5
184,2
185,5
186,1
187,0
188,5
189,3
190,4
191,3
192,5
193,0
194,3
195,1
196,5
197,5
198,4
199,0
200,1
201,5
202,3
203,3
204,3
205,5
206,0
207,4
208,5
209,3
210,3
211,0
212,2
213,5
214,4
215,4
216,0
217,4
218,2
219,1
220,4
221,0
222,1
223,5
224,2
225,4
226,5
227,1
228,5
229,2
230,0
231,2
232,0
233,1
234,1
235,3
236,5
237,4
238,5
239,0
240,1
241,5
242,0
243,5
244,2
245,3
246,0
247,1
248,5
249,2
250,0
251,1
252,2
253,3
254,5
255,4
256,0
257,3
258,1
259,4
260,1
261,2
262,2
263,1
264,3
265,1
266,1
267,4
268,0
269,3
270,4
271,4
272,1
273,2
274,2
275,4
276,5
277,1
278,1
279,1
280,2
